latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
43.865564,-79.499974,018,030,5485,1366,2025-09-02,1603,L8,low,D
43.674559,-79.47683,018,030,5560,2072,2025-09-02,1603,L8,high,D
43.674289,-79.476837,018,030,5560,2073,2025-09-02,1603,L8,high,D
42.185433,-79.513097,018,030,5560,7586,2025-09-02,1603,L8,high,D
43.067679,-79.34788,018,030,5951,4312,2025-09-02,1603,L8,high,D
43.067409,-79.347887,018,030,5951,4313,2025-09-02,1603,L8,high,D
42.221238,-79.32724,018,030,6069,7444,2025-09-02,1603,L8,high,D
42.220968,-79.327248,018,030,6069,7445,2025-09-02,1603,L8,high,D
42.221233,-79.326877,018,030,6070,7444,2025-09-02,1603,L8,high,D
42.220963,-79.326884,018,030,6070,7445,2025-09-02,1603,L8,low,D
43.028166,-79.132429,018,030,6539,4446,2025-09-02,1603,L8,medium,D
43.027896,-79.132437,018,030,6539,4447,2025-09-02,1603,L8,high,D
43.02789,-79.132069,018,030,6540,4447,2025-09-02,1603,L8,high,D
42.889505,-79.111269,018,030,6608,4958,2025-09-02,1603,L8,high,D
40.328619,-82.166862,018,032,733,3911,2025-09-02,1604,L8,high,D
39.73337,-82.148359,018,032,757,6114,2025-09-02,1604,L8,high,D
39.7331,-82.148355,018,032,757,6115,2025-09-02,1604,L8,high,D
39.73283,-82.14835,018,032,757,6116,2025-09-02,1604,L8,high,D
39.87486,-81.955669,018,032,1313,5597,2025-09-02,1604,L8,low,D
39.874863,-81.955318,018,032,1314,5597,2025-09-02,1604,L8,high,D
39.874592,-81.955314,018,032,1314,5598,2025-09-02,1604,L8,high,D
39.875136,-81.954971,018,032,1315,5596,2025-09-02,1604,L8,low,D
39.874865,-81.954967,018,032,1315,5597,2025-09-02,1604,L8,high,D
39.874595,-81.954963,018,032,1315,5598,2025-09-02,1604,L8,medium,D
40.683469,-81.8592,018,032,1617,2608,2025-09-02,1604,L8,high,D
40.683742,-81.858848,018,032,1618,2607,2025-09-02,1604,L8,high,D
40.683472,-81.858845,018,032,1618,2608,2025-09-02,1604,L8,high,D
40.683202,-81.858841,018,032,1618,2609,2025-09-02,1604,L8,low,D
40.683475,-81.85849,018,032,1619,2608,2025-09-02,1604,L8,low,D
40.512648,-81.785485,018,032,1819,3242,2025-09-02,1604,L8,high,D
40.617405,-81.76082,018,032,1892,2855,2025-09-02,1604,L8,low,D
40.617498,-81.746635,018,032,1932,2855,2025-09-02,1604,L8,low,D
40.514618,-81.73239,018,032,1969,3236,2025-09-02,1604,L8,high,D
40.014949,-81.575512,018,032,2400,5088,2025-09-02,1604,L8,high,D
41.258466,-81.567312,018,032,2453,487,2025-09-02,1604,L8,low,D
41.258195,-81.567309,018,032,2453,488,2025-09-02,1604,L8,high,D
41.026975,-81.485384,018,032,2677,1345,2025-09-02,1604,L8,high,D
40.034583,-81.477925,018,032,2678,5017,2025-09-02,1604,L8,high,D
40.753391,-81.440387,018,032,2798,2358,2025-09-02,1604,L8,high,D
40.753121,-81.440385,018,032,2798,2359,2025-09-02,1604,L8,high,D
40.753393,-81.440032,018,032,2799,2358,2025-09-02,1604,L8,high,D
40.753122,-81.44003,018,032,2799,2359,2025-09-02,1604,L8,high,D
40.756665,-81.432235,018,032,2821,2346,2025-09-02,1604,L8,high,D
40.756666,-81.431879,018,032,2822,2346,2025-09-02,1604,L8,medium,D
40.208593,-81.422388,018,032,2839,4374,2025-09-02,1604,L8,high,D
40.208865,-81.422037,018,032,2840,4373,2025-09-02,1604,L8,low,D
40.208595,-81.422035,018,032,2840,4374,2025-09-02,1604,L8,high,D
40.773757,-81.414215,018,032,2872,2283,2025-09-02,1604,L8,medium,D
40.773487,-81.414213,018,032,2872,2284,2025-09-02,1604,L8,high,D
40.048089,-81.324326,018,032,3115,4969,2025-09-02,1604,L8,high,D
40.04809,-81.323975,018,032,3116,4969,2025-09-02,1604,L8,high,D
39.922051,-81.247201,018,032,3333,5436,2025-09-02,1604,L8,high,D
39.843059,-81.116124,018,032,3706,5729,2025-09-02,1604,L8,high,D
41.246574,-81.105326,018,032,3743,536,2025-09-02,1604,L8,low,D
